# Force coefficients
# liftDir           : (0.000000000000e+00 1.000000000000e+00 0.000000000000e+00)
# dragDir           : (1.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# pitchAxis         : (0.000000000000e+00 0.000000000000e+00 1.000000000000e+00)
# magUInf           : 1.000000000000e+00
# lRef              : 1.000000000000e+00
# Aref              : 1.000000000000e+00
# CofR              : (0.000000000000e+00 0.000000000000e+00 0.000000000000e+00)
# Time              	Cm                  	Cd                  	Cl                  	Cl(f)               	Cl(r)               
0.2706              	-3.064955379266e-05	1.570910296154e+00	2.191029799661e-05	-1.969440479436e-05	4.160470279097e-05
0.2728              	-3.074742339757e-05	1.568495365650e+00	8.460924403458e-06	-2.651696119584e-05	3.497788559930e-05
0.275               	-3.084033866908e-05	1.566207465657e+00	3.175085388566e-05	-1.496491172625e-05	4.671576561191e-05
0.2772              	-3.093042620581e-05	1.563975491731e+00	1.904161432273e-05	-2.140961904444e-05	4.045123336717e-05
0.2794              	-3.101790438572e-05	1.561532091838e+00	7.533043838666e-06	-2.725138246638e-05	3.478442630505e-05
0.2816              	-3.109971389630e-05	1.559533087439e+00	8.025909619772e-06	-2.708675908642e-05	3.511266870619e-05
0.2838              	-3.117969222809e-05	1.557734706042e+00	2.524104946619e-05	-1.855916749500e-05	4.380021696119e-05
0.286               	-3.125465612722e-05	1.555551537121e+00	-7.688302137038e-06	-3.509880719574e-05	2.741050505870e-05
0.2882              	-3.132994482535e-05	1.553742881866e+00	3.461935395536e-05	-1.402026784767e-05	4.863962180302e-05
0.2904              	-3.139902385752e-05	1.551620544223e+00	2.442003817403e-05	-1.918900477050e-05	4.360904294454e-05
0.2926              	-3.146353031567e-05	1.549858901437e+00	7.117544477676e-06	-2.790475807683e-05	3.502230255450e-05
0.2948              	-3.152813942045e-05	1.548049728317e+00	9.252383424861e-06	-2.690194770802e-05	3.615433113288e-05
0.297               	-3.158798112915e-05	1.546104823277e+00	2.728868173593e-05	-1.794364026119e-05	4.523232199711e-05
0.2992              	-3.164363270949e-05	1.544467695392e+00	2.273329843483e-05	-2.027698349207e-05	4.301028192690e-05
0.3014              	-3.169427764876e-05	1.542933577376e+00	1.601740839208e-05	-2.368557345272e-05	3.970298184480e-05
0.3036              	-3.174761985758e-05	1.541460061774e+00	4.931499124802e-05	-7.090124233575e-06	5.640511548159e-05
0.3058              	-3.179716091678e-05	1.539473098292e+00	4.856120668802e-05	-7.516557572768e-06	5.607776426079e-05
0.308               	-3.183594592040e-05	1.537625906240e+00	-8.246894839838e-07	-3.224829066239e-05	3.142360117841e-05
0.3102              	-3.187894482822e-05	1.536108372260e+00	7.012318279522e-05	3.182646569389e-06	6.694053622583e-05
0.3124              	-3.192229947949e-05	1.533901352466e+00	6.945454830790e-05	2.804974674465e-06	6.664957363344e-05
0.3146              	-3.195552665854e-05	1.531809426594e+00	3.114020001820e-05	-1.638542664945e-05	4.752562666764e-05
0.3168              	-3.198438293079e-05	1.529889362120e+00	1.811917446686e-05	-2.292479569736e-05	4.104397016422e-05
0.319               	-3.201001896986e-05	1.528429153169e+00	2.847320405236e-05	-1.777341694368e-05	4.624662099604e-05
0.3212              	-3.203356055980e-05	1.527002167482e+00	2.366829740612e-05	-2.019941185674e-05	4.386770926287e-05
0.3234              	-3.205542058713e-05	1.525556556364e+00	2.693748896010e-05	-1.858667610708e-05	4.552416506719e-05
0.3256              	-3.207321193871e-05	1.524082581693e+00	3.290740422335e-05	-1.561950982703e-05	4.852691405038e-05
0.3278              	-3.208894084852e-05	1.522618503423e+00	2.295450154493e-05	-2.061169007606e-05	4.356619162099e-05
0.33                	-3.210019809442e-05	1.521169905569e+00	3.321542569579e-05	-1.549248524652e-05	4.870791094231e-05
0.3322              	-3.210917847748e-05	1.519747586679e+00	2.578942993592e-05	-1.921446350952e-05	4.500389344545e-05
0.3344              	-3.211398264665e-05	1.518318571068e+00	1.640797350438e-05	-2.390999589446e-05	4.031796939883e-05
0.3366              	-3.211902435205e-05	1.516882245653e+00	5.161671076433e-05	-6.310668969882e-06	5.792737973421e-05
0.3388              	-3.212057641096e-05	1.515523433357e+00	3.680923706128e-05	-1.371595788031e-05	5.052519494160e-05
0.341               	-3.211789198068e-05	1.514205783040e+00	2.491360806664e-05	-1.966108794736e-05	4.457469601400e-05
0.3432              	-3.211404762952e-05	1.512938284624e+00	3.251953502878e-05	-1.585428011513e-05	4.837381514391e-05
0.3454              	-3.210538472648e-05	1.511621056052e+00	3.842564626973e-05	-1.289256159162e-05	5.131820786135e-05
0.3476              	-3.209572194640e-05	1.510296000930e+00	4.199535393018e-05	-1.109804498131e-05	5.309339891149e-05
0.3498              	-3.208423129232e-05	1.509095585386e+00	2.851856323455e-05	-1.782494967505e-05	4.634351290959e-05
0.352               	-3.206894849192e-05	1.507896390692e+00	3.687650230445e-05	-1.363069733969e-05	5.050719964414e-05
0.3542              	-3.205254382015e-05	1.506732155019e+00	5.986069057129e-05	-2.122198534508e-06	6.198288910580e-05
0.3564              	-3.203224551191e-05	1.505388874709e+00	2.682508039433e-05	-1.861970531474e-05	4.544478570907e-05
0.3586              	-3.200823552273e-05	1.504392663898e+00	7.214546459703e-05	4.064496775789e-06	6.808096782125e-05
0.3608              	-3.198407934166e-05	1.503187485683e+00	-3.633486438982e-05	-5.015151153657e-05	1.381664714675e-05
0.363               	-3.195426334047e-05	1.502629529655e+00	6.302949186638e-05	-4.395174072738e-07	6.346900927366e-05
0.3652              	-3.192996683648e-05	1.501336541603e+00	2.458593279289e-05	-1.963700044004e-05	4.422293323293e-05
0.3674              	-3.189722264814e-05	1.500567137576e+00	8.316779302814e-05	9.686673865932e-06	7.348111916221e-05
0.3696              	-3.186660973594e-05	1.499197404783e+00	8.595366736832e-06	-2.756892636753e-05	3.616429310436e-05
0.3718              	-3.182905823532e-05	1.498650082861e+00	6.988092014075e-05	3.111401835057e-06	6.676951830570e-05
0.374               	-3.179307509037e-05	1.497571577228e+00	2.230820239253e-05	-2.063897389410e-05	4.294717628663e-05
0.3762              	-3.175166274161e-05	1.496862933137e+00	7.482939920157e-05	5.663036859180e-06	6.916636234239e-05
0.3784              	-3.171361221652e-05	1.495295298383e+00	1.509734929010e-05	-2.416493757147e-05	3.926228686157e-05
0.3806              	-3.166600596124e-05	1.494033908339e+00	3.364747086575e-05	-1.484227052836e-05	4.848974139411e-05
0.3828              	-3.162364115486e-05	1.492791045095e+00	4.295086012220e-05	-1.014821109376e-05	5.309907121595e-05
0.385               	-3.157526054114e-05	1.491922521602e+00	6.540527393445e-05	1.127376426086e-06	6.427789750836e-05
0.3872              	-3.152611155838e-05	1.490746464360e+00	6.022024990051e-05	-1.415986608128e-06	6.163623650864e-05
0.3894              	-3.147719554118e-05	1.489920632814e+00	7.302419783017e-05	5.034903373900e-06	6.798929445627e-05
0.3916              	-3.142246219865e-05	1.489053476138e+00	1.301819968596e-05	-2.491336235567e-05	3.793156204164e-05
0.3938              	-3.136862589971e-05	1.488326767746e+00	4.018043242314e-05	-1.127840968814e-05	5.145884211128e-05
0.396               	-3.131306701237e-05	1.487390796783e+00	6.596845962184e-05	1.671162798549e-06	6.429729682329e-05
0.3982              	-3.125449992913e-05	1.486691759189e+00	4.136069465801e-05	-1.057415260013e-05	5.193484725813e-05
0.4004              	-3.119369485507e-05	1.486019899489e+00	2.297951389739e-05	-1.970393790637e-05	4.268345180377e-05
0.4026              	-3.113169805885e-05	1.485275775427e+00	5.586052043391e-05	-3.201437841894e-06	5.906195827581e-05
0.4048              	-3.106967553979e-05	1.484576321372e+00	6.694279837542e-05	2.401723647922e-06	6.454107472749e-05
0.407               	-3.100685710920e-05	1.483938576902e+00	4.363303944970e-05	-9.190337384351e-06	5.282337683405e-05
0.4092              	-3.093965405848e-05	1.483084189576e+00	6.914126104420e-05	3.630976463621e-06	6.551028458058e-05
0.4114              	-3.087458037104e-05	1.482279972412e+00	6.106010779010e-05	-3.445264759941e-07	6.140463426609e-05
0.4136              	-3.080674364468e-05	1.481696370522e+00	6.359478307854e-05	9.906478945875e-07	6.260413518395e-05
0.4158              	-3.073667701622e-05	1.481074055700e+00	5.593917488092e-05	-2.767089575757e-06	5.870626445667e-05
0.418               	-3.066601180892e-05	1.480261817564e+00	6.527764516114e-05	1.972810771655e-06	6.330483438949e-05
0.4202              	-3.059593512926e-05	1.479596415327e+00	4.921962476080e-05	-5.986122748855e-06	5.520574750966e-05
0.4224              	-3.052433967429e-05	1.479029964755e+00	7.450053236869e-05	6.725926510057e-06	6.777460585863e-05
0.4246              	-3.045126629509e-05	1.478543678164e+00	6.231868278119e-05	7.080750955046e-07	6.161060768568e-05
0.4268              	-3.037481966322e-05	1.477823078433e+00	6.180876037599e-05	5.295605247723e-07	6.127919985122e-05
0.429               	-3.029940621007e-05	1.477121761412e+00	6.531408349456e-05	2.357635537212e-06	6.295644795735e-05
0.4312              	-3.022565058806e-05	1.476629066617e+00	6.462214970588e-05	2.085424264881e-06	6.253672544100e-05
0.4334              	-3.014850788502e-05	1.476169542421e+00	6.472280382866e-05	2.212894029308e-06	6.250990979935e-05
0.4356              	-3.006966143335e-05	1.475695176803e+00	6.944977281002e-05	4.655224971666e-06	6.479454783836e-05
0.4378              	-2.999195842147e-05	1.474938498484e+00	8.457635890002e-05	1.229622102854e-05	7.228013787147e-05
0.44                	-2.991227217782e-05	1.474367940887e+00	8.284295325151e-05	1.150920444794e-05	7.133374880357e-05
0.4422              	-2.983190537627e-05	1.473902220587e+00	6.429536927732e-05	2.315779262387e-06	6.197959001493e-05
0.4444              	-2.975359857412e-05	1.473485359220e+00	7.071936329033e-05	5.606083071047e-06	6.511328021929e-05
0.4466              	-2.967084127684e-05	1.473073969219e+00	8.376477130959e-05	1.221154437795e-05	7.155322693164e-05
0.4488              	-2.958692125241e-05	1.472366457065e+00	7.493971952554e-05	7.882938510362e-06	6.705678101518e-05
0.451               	-2.950509759983e-05	1.471938629836e+00	4.569088874711e-05	-6.659653226274e-06	5.235054197339e-05
0.4532              	-2.942472810026e-05	1.471585652363e+00	7.204613635631e-05	6.598340077891e-06	6.544779627842e-05
0.4554              	-2.934152888245e-05	1.471182297324e+00	8.787128743859e-05	1.459411483685e-05	7.327717260174e-05
0.4576              	-2.926067833937e-05	1.470811723310e+00	8.916915806044e-05	1.532390069085e-05	7.384525736958e-05
0.4598              	-2.917600059292e-05	1.470333883309e+00	8.042470278647e-05	1.103635080032e-05	6.938835198616e-05
0.462               	-2.909308760141e-05	1.469776912285e+00	1.015420275543e-04	2.167792617575e-05	7.986410137858e-05
0.4642              	-2.900869652062e-05	1.469335977366e+00	7.362479621331e-05	7.803701586036e-06	6.582109462727e-05
0.4664              	-2.892464101482e-05	1.468930458424e+00	7.889680978795e-05	1.052376387916e-05	6.837304590879e-05
0.4686              	-2.884070774403e-05	1.468594320574e+00	8.182959847924e-05	1.207409149559e-05	6.975550698365e-05
0.4708              	-2.876005736534e-05	1.468316383702e+00	8.373689940695e-05	1.310839233814e-05	7.062850706882e-05
0.473               	-2.867114377941e-05	1.467765508097e+00	8.446864048154e-05	1.356317646136e-05	7.090546402018e-05
0.4752              	-2.858599643652e-05	1.467414249331e+00	1.052371188899e-04	2.403256300842e-05	8.120455588146e-05
